Culture,day,after,before,survival_percent,antibiotic
6,18,14999999.999999998,204999999.99999997,7.317073170731708,Cefepime
6,19,70000000.0,174999999.99999997,40.00000000000001,Cefepime
6,20,94999999.99999999,140000000.0,67.85714285714285,Cefepime
7,1,70000.0,209999999.99999997,0.03333333333333334,Cefepime
7,2,999999.9999999999,135000000.0,0.7407407407407406,Cefepime
7,3,199999.99999999997,275000000.0,0.07272727272727271,Cefepime
7,4,300000.0,249999999.99999997,0.12000000000000001,Cefepime
7,5,2899999.9999999995,310000000.0,0.9354838709677418,Cefepime
7,6,210000.0,155000000.0,0.13548387096774195,Cefepime
7,7,13999999.999999998,254999999.99999997,5.490196078431373,Cefepime
7,8,18499999.999999996,189999999.99999997,9.736842105263158,Cefepime
7,9,1499999.9999999998,290000000.0,0.5172413793103448,Cefepime
7,10,3099999.9999999995,280000000.0,1.107142857142857,Cefepime
7,11,3199999.9999999995,239999999.99999997,1.3333333333333333,Cefepime
7,12,2500000.0,150000000.0,1.6666666666666667,Cefepime
7,13,1749999.9999999998,234999999.99999997,0.7446808510638298,Cefepime
7,14,1100000.0,44999999.99999999,2.4444444444444446,Cefepime
