Panel,Antibiotic,Group,value,cultures,values,n,geomean,lo,hi,min,max
Figure 3b-d,Cefepime,PLA,MIC,"1,2,3,4,5,6,7,8,9,10",0.17458989742082434;0.5858524571953564;0.06610901090916581;0.05675818903059162;0.057747747143316534;0.058256626647925656;0.15310662538098654;0.07213079184448541;0.0863630764815745;0.08366148748686757,10,0.10029852136234149,0.05928261261226717,0.16969213980610615,0.056758189030591634,0.5858524571953564
Figure 3b-d,Cefepime,PLAC,IC50,"1,2,3,4,5,6,8,9,7,10",0.05236847752521162;0.10814874667769767;0.07251623114221138;0.0374729843011396;0.04565225908656448;0.05829878991985069;0.0835211089333822;0.032738822113907114;0.04777844306435342;0.03234084767552266,10,0.0529445114644519,0.03972106542098503,0.0705701436882547,0.03234084767552265,0.10814874667769767
Figure 3b-d,Cefepime,PLAC,MIC,"1,2,3,4,5,6,8,9,7,10",0.1965675112699807;2.8096761345017205;1.2337288787187297;0.1359060110369835;0.17177610537506954;0.2812909853534696;1.1089625839762054;0.17281713637922755;0.9570517524817257;0.6875722519084962,10,0.4733149723335541,0.22190014801985825,1.009585009447873,0.1359060110369835,2.8096761345017205
Supplementary Figure 3b-d,Levofloxacin,P,IC50,"1,2,3,4,5,6,7,8,9,10",0.03075589757246813;0.03508597696730427;0.031816097289626366;0.039580666917931995;0.030620599370258288;0.026797113765329523;0.030205450204539356;0.057518282313681855;0.042772903120535104;0.04118297592291217,10,0.03575255946166259,0.030409727071493826,0.04203409997908041,0.02679711376532953,0.05751828231368185
Supplementary Figure 3b-d,Levofloxacin,P,MIC,"1,2,3,4,5,6,7,8,9,10",0.06329206379515726;0.10326810869900518;0.08200273790199224;0.16315742225621668;0.07603460336329834;0.08584711635207026;0.06560713595887836;0.2031387008875681;0.10858083053754158;0.1759867410623531,10,0.1038117356856237,0.07692752396565787,0.14009129516339078,0.06329206379515726,0.20313870088756814
Supplementary Figure 3b-d,Levofloxacin,PCr,IC50,"1,2,3,4,5,6",0.03730688160102;0.12286958882428828;0.1734326409830855;0.18280266426068503;0.15013116818803138;0.20839747850743862,6,0.12871179274453223,0.06623713150680269,0.25011236469094356,0.037306881601020005,0.2083974785074386
Supplementary Figure 3b-d,Levofloxacin,PCr,MIC,"1,2,3,4,5,6",0.21134428019548376;0.4735755559390175;0.45847409033520353;0.6581783007095521;0.5378921414426295;0.5209479927079974,6,0.45142743610503444,0.29889050007585216,0.6818106631580735,0.2113442801954838,0.6581783007095521
Supplementary Figure 3b-d,Amikacin,P,IC50,"1,2,3,4,5,6,7,8,9,10",2.787036757387843;3.223472622720201;3.531480499059938;2.9855803093276463;2.793775192217125;1.8671780258019623;2.3428260777137524;3.1204141050789835;4.78367664930266;3.2845679945527646,10,2.988148518197365,2.501567182076948,3.5693750824599886,1.8671780258019623,4.78367664930266
Supplementary Figure 3b-d,Amikacin,P,MIC,"1,2,3,4,5,6,7,8,9,10",81.26520359691659;34.40183238139791;28.66918509176829;41.08543898857884;32.33970561545491;26.28682926586932;26.66288314867671;45.63122815387165;98.61428507992309;55.84735668287935,10,42.39528381723561,30.43537924083924,59.05495954958234,26.286829265869322,98.61428507992308
Supplementary Figure 3b-d,Amikacin,PCr,IC50,"1,2,3,4,5,6",10.094886899207856;8.000861951727279;8.847173631971993;4.184008984339003;2.412346736432653;2.129402425780553,6,4.985654106677105,2.4348774189182967,10.20862351356849,2.129402425780553,10.094886899207857
