"Feature","Gene","Probe","Summed_Counts"
"bioF-4","bioF","4",2
"bioH-3","bioH","3",77
"bipA-2","bipA","2",11250
"birA-1","birA","1",1290
"bisC-5","bisC","5",273
"blc-5","blc","5",150
"blr-5","blr","5",226
"bolA-4","bolA","4",294
"brnQ-4","brnQ","4",57
"bssR-3","bssR","3",1331
"bssS-1","bssS","1",1441
"btuB-2","btuB","2",491
"btuC-3","btuC","3",194
"btuD-4","btuD","4",198
"btuE-4","btuE","4",80
"btuF-5","btuF","5",79
"btuR-4","btuR","4",178
"cadA-4","cadA","4",41
"cadB-5","cadB","5",51
"cadC-3","cadC","3",55
"caiA-5","caiA","5",137
"caiB-4","caiB","4",397
"caiC-5","caiC","5",331
"caiD-1","caiD","1",13
"caiE-4","caiE","4",16
"caiF-3","caiF","3",102
"caiT-3","caiT","3",23
"camR-1","camR","1",0
"can-5","can","5",115
"carA-4","carA","4",12
"carB-4","carB","4",430
"cbl-1","cbl","1",184
"cbpA-2","cbpA","2",253
"cbpM-1","cbpM","1",9
"cbrA-2","cbrA","2",75
"cbrC-1","cbrC","1",149
"cca-5","cca","5",43
"cchA-1","cchA","1",0
"cchB-5","cchB","5",17
"ccmA-4","ccmA","4",108
"ccmB-1","ccmB","1",0
"ccmC-1","ccmC","1",0
